앞면,뒷면,메모,학습제외,예문1,예문1_해석,예문2,예문2_해석
~ようにも~ない,~하고 싶어도 ~할수없다,뒤의 불가능/부정까지 포함해야 “하고 싶어도 못함” 의미가 완성됨.,,出かけ[[ようにも]]出かけられ[[ない]],나가고 [[싶어도]] [[나갈 수 없다]].,,
~にあって,~에 있어서 / ~에서,어떤 특별한 상황·시기·장소에 처해 있음. [[문어체]].,,動物の世界[[にあって]]も愛情がある,동물의 세계[[에 있어서]]도 애정이 있다.,,
~はおろか,~은커녕 / ~은 말할 것도 없고,더 기본적인 것조차 안 됨을 강조. 뒤에 부정·부정적 내용.,,漢字[[はおろか]]平仮名も読めない,한자[[는커녕]] 히라가나도 읽지 못한다.,,
~由(よし),~라고 함 / ~라고 하는 소식,전해 들은 내용을 전달할 때. 격식 있는 [[문어체]].,,来月は久しぶりのご上京の[[由]],다음 달 오랜만에 상경하신다는 [[소식입니다]].,,
~に至って,~에 이르러 / ~하게 되자,극단적인 사태가 되어서야 비로소. 「に至る」 계열.,,子供が自殺する[[に至って]],아이가 자살하기에 [[이르러서]],,
~ばこそ,~이기 때문에,바로 그 이유 때문임을 강조하는 긍정적 원인. 「からこそ」의 [[문어체]].,,健康であれ[[ばこそ]]できる,건강하기 [[때문에야말로]] 할 수 있다.,,
~をおいて~ない,"~가 아니면, ~말고",뒤의 부정 「ない」까지 함께 외워야 “~가 아니면” 의미가 됨.,,彼[[をおいて]]だれも[[いない]],그를 [[빼고는]] [[아무도 없다]].,,
~に至っては,~에 이르러서는 / ~만 해도,여럿 중 극단적인 예를 들어 강조. 「に至る」 계열.,,私が住む町[[に至っては]],내가 사는 마을에 [[이르러서는]],,
~ばそれまでだ,~하면 끝이다,그렇게 되면 더 이상 어쩔 도리가 없음.,,死ね[[ばそれまでだ]],죽으면 그것으로 [[끝이다]].,,
~を限りに,~을 끝으로,그 시점을 마지막으로 어떤 일을 그만둠.,,今回の取引[[を限りに]],이번 거래를 [[끝으로]],,
~に至る,~하기에 이르다,어떤 과정을 거쳐 결국 그 상태에 도달함.,,ついに死者30人を出す[[に至った]],마침내 사망자 30명을 [[내기에 이르렀다]].,,
~ひとり~のみならず,단지~뿐만아니라,「ひとり~のみならず」는 “단지 ~뿐만 아니라”의 격식 표현. 143번과 비슷하지만 표현이 달라 별도 유지.,,[[ひとり]]日本[[のみならず]],[[단지]] 일본[[뿐만 아니라]],,
~を皮切りに(して),"~을 시작으로, 기점으로",그것을 출발점으로 같은 일이 잇따라 일어남.,,彼の発言[[を皮切りに(して)]],그의 발언을 [[시작으로]],,
~に至るまで,~에 이르기까지,사소한 것까지 빠짐없이 미침을 강조.,,過去の借金[[に至るまで]],과거의 빚에 [[이르기까지]],,
~べからず / ~べからざる,~해서는 안 된다 / ~해서는 안 되는,"べからず는 문장 끝 금지, べからざる는 명사 수식. [[문어체]]·격식체 표현으로 같은 계열.",,青少年の見る[[べからざる]]もの,청소년이 [[봐서는 안 되는]] 것,池の魚を取る[[べからず]],연못의 물고기를 [[잡지 말 것]].
~を禁じえない,~을 참을 수 없다,어떤 감정이 절로 솟구쳐 억누를 수 없음. 격식체.,,県民として怒り[[を禁じえない]],현민으로서 분노를 [[금할 수 없다]].,,
~にかかわる,~에 관련되다 / ~에 영향을 미치다,생명·명예 등 중대한 것에 직결됨.,,事故で命[[にかかわる]]けがをした,사고로 생명에 [[관계되는]] 부상을 입었다.,,
~を踏まえて,~을 기반으로,어떤 사실·근거를 바탕·전제로 삼아.,,失敗という事実[[を踏まえて]],실패라는 사실을 [[바탕으로]],,
~にかこつけて,~을 구실로,진짜 목적을 숨기고 다른 일을 핑계 삼음.,,母親の病気[[にかこつけて]],어머니의 병을 [[구실로]],,
