앞면,뒷면,메모,학습제외,예문1,예문1_해석,예문2,예문2_해석
~あっての,~가 있기에 가능한,,,日々の練習[[あっての]]勝利だ,나날의 연습이 [[있기에 가능한]] 승리다.,,
~ずじまい,(하려 했으나) 결국 ~하지 못하고 끝남,못 한 채 끝나버린 [[아쉬움]]의 뉘앙스.,,やめるわけは聞か[[ずじまい]]だった,그만두는 이유는 결국 묻지 [[못한 채 끝났다]].,,
~てもともとだ,밑져야 본전이다 / 안 돼도 손해 볼 것 없다,도전·시도의 맥락. 「져도 본전이니 일단 해보자」.,,負け[[てもともとだ]],져도 [[본전이다]].,,
~いかんで,~여하에 따라,결과가 달라지는 쪽. 「いかんにかかわらず/によらず」와 [[반대 방향]].,,商品の説明のし方[[いかん]]で,상품 설명 방식 [[여하에 따라]],,
~ずにはおかない,"1) 반드시 ~하다 / ~하지 않고는 두지 않다
2) 자연히 ~하게 만들다","주체가 직접 하지 않고는 못 배기는 용법과, 사람의 마음을 움직여 ~하게 만드는 용법을 예문으로 구분.",,仕返しをせ[[ずにはおかない]],반드시 [[보복하고야 말겠다]].,感動させ[[ずにはおかない]],반드시 [[감동시키고야 만다]].
~てやまない,~해 마지않다,,,君達の努力を期待し[[てやまない]],너희의 노력을 간절히 [[기대해 마지않는다]].,,
~いかんでは,~여하에 따라서는,결과가 달라지는 쪽.,,試験の結果[[いかんでは]],시험 결과 [[여하에 따라서는]],,
~と相まって,~와 합쳐져서,,,人一倍の努力[[と相まって]],남보다 배의 노력과 [[맞물려]],,
~いかんにかかわらず,~여하에 관계없이,결과가 안 달라지는 쪽. 「いかんで(は)」와 [[반대 방향]].,,理由の[[いかんにかかわらず]],이유 [[여하에 관계없이]],,
~ずにはすまない,그냥 넘어갈 수 없다 / 반드시 ~해야 한다,사과·변상·처리 등을 하지 않고는 상황이 끝나지 않는다는 [[강한 의무]].,,買って返さ[[ずにはすまない]],사서 돌려주지 [[않고는 끝나지 않는다]].,,
~とあって,~라고 해서 / ~이므로,,,スターがやって来る[[とあって]],스타가 [[온다고 해서]],,
~いかんによらず,~여하를 막론하고,결과가 안 달라지는 쪽. 「いかんにかかわらず」와 [[같은 의미]].,,理由の[[いかんによらず]],이유 [[여하를 막론하고]],,
~すら,~조차,,,話すこと[[すら]]苦しそうだった,말하는 것[[조차]] 괴로워 보였다.,,
~とあれば,~라면,,,子供のため[[とあれば]],아이를 위해[[서라면]],,
~思いをする,~한 경험을 하다 / ~한 기분을 느끼다,앞에 오는 형용사와 묶여 감정·경험을 겪는다는 뜻.,,大変つらい[[思いをする]],매우 괴로운 [[경험을 하다]].,,
~そばから,~하자마자 / ~하는 족족,바로 뒤이어 반복적으로 일어나는 느낌. 두 예문 모두 같은 용법.,,注意された[[そばから]]また間違った,주의를 [[받자마자]] 또 틀렸다.,仕事をかたづける[[そばから]],일을 처리하는 [[족족]]
~といい~といい,~도 그렇고 ~도 그렇고,두 성질을 나란히 들어 평가하는 반복 문형.,,色[[といい]]デザイン[[といい]],색[[도 그렇고]] 디자인[[도 그렇고]],,
~かいもなく,~한 보람도 없이,,,家族たちの看護の[[かいもなく]],가족들의 간호 [[보람도 없이]],,
~というところだ,기껏해야 ~정도다 / ~라고 할 만한 수준이다,[[상한선]]·대수롭지 않음의 뉘앙스. 「せいぜい〜」와 묶이는 포인트.,,休日といっても、家にいる[[というところだ]],휴일이라고 해도 집에 있는 [[정도다]].,,
