앞면,뒷면,메모,학습제외,예문1,예문1_해석
~かぎりだ,매우 ~하다,감정·심정의 정도가 극에 달함을 나타냄.,,残念な[[かぎりだ]],그저 유감스럽기 [[짝이 없다]].
~だけましだ,~만으로 다행이다,더 나쁠 수 있었는데 그나마 낫다는 뉘앙스.,,命を取られなかった[[だけましだ]],목숨을 빼앗기지 않은 것[[만으로도 다행]]이다.
~というもの,~라는 기간 내내 / ~동안 줄곧,기간을 나타내는 말에 붙어 그동안 줄곧 이어졌음을 강조.,,結婚して以来30年[[というもの]],결혼한 이래 30년 [[동안 줄곧]]
~かたがた,겸하여 / 아울러,한 행위에 다른 목적을 겸함. 주로 격식 있는 [[문어체]].,,恩師に報告[[かたがた]]手紙を書いた,은사님께 보고[[도 할 겸]] 편지를 썼다.
~ただ~のみ,단지 ~ 뿐(만),「ただ」와 「のみ」가 호응하는 제한 문형.,,[[ただ]]苦しい[[のみ]]の人生,그저 괴로울 [[뿐인]] 인생
~といえども,~라고는 해도,「たとえ~といえども」 형태로 자주 쓰임. 양보의 [[문어체]].,,たとえ外国人[[といえども]],설령 외국인[[이라고 해도]]
~かたわら,~하는 한편으로,본업·주된 일을 하면서 [[동시에]] 다른 일도 함.,,大学院での研究の[[かたわら]],대학원에서 연구하는 [[한편]]
~ただ~のみならず,단지 ~ 뿐(만)아니라,「ただ~のみならず」는 한 덩어리로 “단지 ~뿐만 아니라”.,,富士山は[[ただ]]高い[[のみならず]],후지산은 단지 높을 [[뿐만 아니라]]
~といったら(ありゃし)ない,~은 말로 다 할 수 없다,정도가 극심해 표현할 수 없을 때. 부정적 평가에 주로 사용.,,汚い[[といったら(ありゃし)ない]],더럽다고 하면 [[이루 말할 수 없다]].
~がてら,"~하는 김에, 겸사겸사",어떤 행위를 하는 김에 다른 일도 함. 「かたがた」보다 [[구어적]].,,フリーマーケットをのぞき[[がてら]],벼룩시장을 둘러[[볼 겸]]
~たところで,~해 봤자,아무리 해도 좋은 결과가 안 된다는 [[부정적 결론]].,,いくら働い[[たところで]],아무리 일[[해 봤자]]
~といわず~といわず,~ ~ 할 것 없이,「AといわずBといわず」처럼 A/B를 모두 부정·포괄하는 반복 문형.,,机の上[[といわず]]下[[といわず]],책상 위[[고]] 아래[[고]] [[할 것 없이]]
~が早いか,~하자마자,한 동작이 끝나기 무섭게 곧바로 다음 동작이 일어남.,,警官の姿を見る[[が早いか]],경관의 모습을 [[보자마자]]
~だに,~만으로도/ ~조차도,「考えるだに」처럼 ~하기만 해도의 뜻. [[문어체]].,,考える[[だに]]恐ろしいことだ,생각하는 것[[만으로도]] 무서운 일이다.
~と思いきや,~라고 생각했는데,예상과 다른 결과가 나왔을 때의 [[의외성]].,,前進を続ける[[と思いきや]],계속 전진할 [[줄 알았는데]]
~からある,~이나 되는,[[수량이 그 이상]]임을 강조. 무게·길이·크기 등에 사용.,,男は30キロ[[からある]]荷物を担いだ,남자는 30킬로[[나 되는]] 짐을 멨다.
~たが最後,~일단~하기만하면,한번 그렇게 되면 [[반드시 나쁜 결과]]가 따른다는 뉘앙스.,,寝入っ[[たが最後]]、目を覚まさない,[[잠들었다 하면]] 절대 깨지 않는다.
~ときたら,~라면 정말 / ~로 말할 것 같으면,화제를 들어 불만·비난을 나타낼 때가 많음.,,隣の犬[[ときたら]],옆집 개[[라니]] 말이야
~からの,~이나 되는,「からある」와 비슷하게 [[수량의 많음]]을 강조.,,5億円[[からの]]遺産を相続した,5억 엔[[이나 되는]] 유산을 상속했다.
