앞면,뒷면,메모,학습제외,예문1,예문1_해석
~にもまして,~보다도 더욱더,이전의 것과 비교해 그 이상으로 정도가 큼.,,以前[[にもまして]]頑張っている,이전[[보다도 더욱더]] 열심히 하고 있다.
~や否や,~하자마자,한 동작 직후 곧바로 다음 일이 일어남. [[문어체]].,,そのニュースが伝わる[[や否や]],그 뉴스가 [[전해지자마자]]
~ことなしに,~하지않고,그 행위를 거치지 않고. 「~없이는 ~할 수 없다」 형태로 자주.,,許可を得ること[[なしに]],허가를 [[얻지 않고]]
~によらず,~에 관계없이,그것에 좌우되지 않음. 「いかんによらず」와 구분.,,わが社は学歴[[によらず]],우리 회사는 학력에 [[관계없이]]
~やら,"~는지, ~인지",불확실함이나 여러 가지가 섞여 있음을 나타냄.,,いったいどこへ行った[[やら]],도대체 [[어디로 갔는지]]
~ならでは,"~가 아니면, ~만 가능한",그 대상만이 가진 고유함을 긍정적으로 평가.,,あの人[[ならでは]]のものだ,그 사람이 [[아니면 불가능한]] 것이다.
~の至り,~의 극치 / 더할 나위 없는 ~,「光栄の至り」「赤面の至り」 등 감정의 극한. 격식체.,,光栄[[の至り]]です,[[더할 나위 없는 영광]]입니다.
~ゆえ(の/に),"~때문에, ~까닭에","「ゆえに」는 이유, 「ゆえの」는 명사 수식. 같은 뿌리라 한 카드로 유지.",,新しい仕事は慣れぬこと[[ゆえ(の/に)]],새 일은 익숙하지 않은 [[까닭에]]
~ならまだしも,~라면 몰라도,그 경우라면 그나마 이해되지만 실제는 그 이상이라 곤란함.,,神様[[ならまだしも]],신이[[라면 몰라도]]
~の極み,최고의~ / ~의 극치,「贅沢の極み」「感激の極み」 등 정도의 극한. 「の至り」와 유사.,,疲労[[の極みに]]達している,피로가 극[[에 달해]] 있다.
~ようが~ようが / ~ろうが~ろうが,~하든 ~하든,의지형+が 패턴. 五段動詞는 降ろうが처럼 ろうが가 보일 수 있음.,,雨が[[降ろうが]]槍が[[降ろうが]],비가 오[[든]] 창이 떨어지[[든]]
~なり,~하자마자,「~や否や」와 비슷. 한 동작 직후 예상 밖의 행동이 이어짐.,,彼の顔を見る[[なり]]泣き始めた,그의 얼굴을 [[보자마자]] 울기 시작했다.
~のなんの(って),매우 ~하다,정도가 대단함을 [[구어적]]으로 강조하는 표현.,,そのさしみはうまい[[のなんの(って)]],그 회는 정말 [[말도 못하게]] 맛있다.
~ようが~まいが,~든 말든,「~ようが~まいが」는 하든 말든이라는 별도 호응 문형. 222번과 구분.,,あの人が[[来ようが来るまいが]],그 사람이 오[[든]] 오지 않[[든]]
~なり~なり,~이든~이든,「AなりBなり」는 선택 예시. 「~なりに / ~なりの」와 구분.,,ジュース[[なり]]コーラ[[なり]],주스[[든]] 콜라[[든]]
~ならいざ知らず,~라면 모르겠는데,그 경우라면 예외로 치더라도 지금은 그렇지 않다는 대비.,,規則を知らなかったの[[ならいざ知らず]],규칙을 몰랐다[[면 몰라도]]
~ようと(も),~하더라도,어떤 일이 일어나도 결과는 변하지 않는다는 양보.,,どんなに悪く言われ[[ようと(も)]],아무리 나쁘게 말해진다[[고 해도]]
~なりに / ~なりの,~나름대로 / ~나름의,"「なりに」는 부사적으로, 「なりの」는 명사 수식으로 씀. 같은 문형 변형이라 한 카드로 유지.",,若者は若者[[なりの]]悩みがある,젊은이에게는 젊은이 [[나름의]] 고민이 있다.
~は言うにおよばず,~은 말할 것도 없고,그것은 당연하고 그 외의 것도 그렇다는 첨가. 「は言うまでもなく」와 유사.,,頭の良さ[[は言うにおよばず]],머리가 좋은 것은 [[말할 것도 없고]]
