앞면,뒷면,메모,학습제외,예문1,예문1_해석,예문2,예문2_해석
~べく,~하려고、~하고자,어떤 목적을 이루기 위해. 「べし」의 연용형. [[문어체]].,,合格す[[べく]]勉強する,합격[[하고자]] 공부하다.,,
身をもって,몸소 / 직접 체험하여,자기 몸으로 직접 겪어 절실히 안다는 뉘앙스.,,働くことの厳しさを[[身をもって]]経験した,일하는 것의 엄격함을 [[몸소]] 경험했다.,,
~に難くない,~하기 어렵지 않다,「想像に難くない」가 대표 형태. 쉽게 짐작할 수 있음.,,子どもの心のうちは想像[[に難くない]],아이의 속마음은 상상하기 [[어렵지 않다]].,,
~べくもない,도저히 ~할 방도가 없다,그렇게 할 가능성·수단이 전혀 없음. [[문어체]].,,マイホームを手に入れる[[べくもない]],내 집을 손에 넣을 [[방도가 전혀 없다]].,,
~をものともせず(に),~을 개의치 않고,곤란·역경을 아랑곳하지 않고 맞섬. 긍정적 평가.,,風雨[[をものともせず(に)]]出発した,비바람을 [[개의치 않고]] 출발했다.,,
~にこしたことはない,~보다 나은 것은 없다,그렇게 하는 편이 가장 좋다는 권유.,,早くうちに帰る[[にこしたことはない]],빨리 집에 돌아가는 것보다 [[나은 것은 없다]].,,
~まじき,~해서는 안되는,그 입장에 있는 사람이 해서는 안 될 행동. 「あるまじき」 등. [[문어체]].,,殺人なんて許す[[まじき]]こと,살인 따위는 [[용서해서는 안 되는]] 일,,
~を余儀なくさせる,어쩔수없이~하게하다,주어가 상대를 어쩔 수 없이 그렇게 만듦(사역).,,支店開設の中止[[を余儀なくさせる]],지점 개설을 중지[[할 수밖에 없게 만들다]].,,
~にしてはじめて,~이 되어서야 비로소,그 단계·자격에 이르러서야 가능함.,,プロ[[にしてはじめて]]出来ること,프로가 [[되어서야 비로소]] 할 수 있는 일,,
~までだ,"1) 그저 ~할 뿐이다
2) ~하면 그만이다","「気になったまでだ」는 단순한 이유/한계, 「待つまでだ」는 그렇게 하면 그만이라는 판단.",,ちょっと気になった[[までだ]],그저 조금 신경 [[쓰였을 뿐이다]].,帰って来るのを待つ[[までだ]],돌아오기를 [[기다리면 그만이다]].
~を余儀なくされる,어쩔 수 없이 ~하게 되다,주어가 어쩔 수 없이 그 상황에 처함(수동). 「させる」와 짝.,,テント暮らし[[を余儀なくされた]],텐트 생활을 [[할 수밖에 없게 되었다]].,,
~にして,"1) ~이면서 동시에
2) ~조차도","「社長にして詩人」은 동시 성질, 「優等生にして」는 “조차도”의 강조.",,社長[[にして]]詩人でもある,사장[[이면서 동시에]] 시인이기도 하다.,優等生[[にして]]解けない問題,우등생[[조차]] 풀 수 없는 문제
~をよそに,~을 아랑곳하지 않고,주위의 우려·기대 등을 무시하고 멋대로 행동함.,,老人や低所得者層の不安[[をよそに]],노인과 저소득층의 불안을 [[아랑곳하지 않고]],,
~まで(のこと)もない,~할 필요도 없다,그렇게까지 할 필요가 없을 만큼 당연·사소함.,,映画館に見に行く[[まで(のこと)もない]],영화관에 보러 갈 [[필요까지는 없다]].,,
~んがため(に),~하기위해서,어떤 목적 달성을 위해. 「べく」와 유사한 [[문어체]].,,合格せ[[んがため]]の努力,합격[[하기 위한]] 노력,,
~に即して,~에따라,사실·규정·실정 등에 맞추어. 「規則に即して」 등.,,法律[[に即して]]処分します,법률[[에 따라]] 처분합니다.,,
~まみれ,"~투성이, ~범벅",액체·먼지 등이 표면에 잔뜩 묻은 상태. 「血まみれ」「泥まみれ」 등.,,血[[まみれ]]になるまで戦った,피[[투성이]]가 될 때까지 싸웠다.,,
~んばかりだ / ~んばかりに,곧 ~할 듯하다,"「んばかりだ」는 문장 끝, 「んばかりに」는 뒤를 수식. 동사ない형 어간 + んばかり.",,僕のほうが悪い[[といわんばかりだ]],마치 내가 더 나쁘다고 [[말하는 듯하다]].,,
