앞면,뒷면,메모,학습제외,예문1,예문1_해석,예문2,예문2_해석
~と,"~하고 나서, ~하더니",한 동작에 이어 곧바로 다음 일이 일어남(연속·발견).,,兄は上着を着る[[と]],형은 윗옷을 [[입더니]],,
~かと思うほど,~라고 생각될 정도로,그렇게 느껴질 만큼 정도가 대단함을 비유.,,雷が落ちた[[かと思うほど]],벼락이 떨어진 [[줄 알 정도로]],,
~といいのに,~하면 좋을 텐데,실현되지 않은 일에 대한 [[아쉬움]]·바람.,,意見を聞く[[といいのに]],의견을 [[들으면 좋을 텐데]],,
~によっては,~에 따라서는,경우에 따라 결과가 달라짐. 「によって」(3번 뜻)와 유사.,,店[[によっては]]７時にしまってしまう,가게[[에 따라서는]] 7시에 닫아 버린다.,,
~から,~로 인해,원인·이유를 나타냄. 「~から」의 명사+から 형태.,,一瞬の不注意[[から]],순간의 부주의[[로 인해]],,
~という,~라고 하는,내용을 명사에 연결해 설명. 전문·인용.,,結婚する[[という]]知らせが来た,결혼한다[[는]] 소식이 왔다.,,
~によると,~에 따르면,정보의 출처·근거를 나타냄. 뒤에 「~そうだ」 등이 자주 옴.,,テレビの長期予報[[によると]],텔레비전 장기 예보[[에 따르면]],,
~からこそ,"~이니까, ~이기 때문에",바로 그 이유임을 강조. 「ばこそ」의 일상체.,,成績がよかった[[からこそ]],성적이 좋았기 [[때문에야말로]],,
~と[いう(の)]ことだ,~라고 한다,전달/전문 용법. 비슷한 형태의 「~ということだ」(즉 ~라는 것이다)와 뜻을 구분.,,解決に向かった[[ということだ]],해결로 향[[했다고 한다]].,,
~にわたって,~에 걸쳐서,기간·범위 전체에 미침. 「にわたる」도 있음.,,台風が日本全域[[にわたって]],태풍이 일본 전역[[에 걸쳐]],,
~から~にかけて,~부터 ~에 걸쳐서,범위의 시작과 끝을 나타내는 한 덩어리 문형이라 분리하지 않음.,,東北[[から]]関東[[にかけて]],도호쿠[[부터]] 간토[[에 걸쳐]],,
~ということだ,~라는 것이다,앞 내용으로부터 끌어내는 결론·해석. 「と(いう(の))ことだ」(전문)와 구분.,,会議は延期だ[[ということだ]],회의는 연기[[라는 것이다]].,,
~ばかりでなく,~뿐만 아니라,그것에 더해 다른 것도 그러함. 「だけでなく」와 유사.,,今日は頭が痛い[[ばかりでなく]],오늘은 머리가 아플 [[뿐만 아니라]],,
~からには,~한 이상은,그렇게 된 이상 당연히 ~해야 한다는 각오·당위.,,引き受けた[[からには]],맡은 [[이상은]],,
~というのは,~라는 것은,어떤 말의 정의·의미를 설명할 때.,,JLPT[[というのは]],JLPT[[라는 것은]],,
~はずだ,당연히 ~할 것이다,근거에 비추어 당연히 그럴 것이라는 확신.,,おいしい[[はずです]]よ,맛있을 [[것입니다]].,,
~代わりに,"1) ~한 대신에 / ~의 대가로
2) ~을 대신해서",대가/교환 용법과 대리 용법을 예문 2개로 구분.,,便利さを手に入れた[[代わりに]],편리함을 얻은 [[대신에]],出張中の課長の[[代わりに]],출장 중인 과장을 [[대신해서]]
~というより,~라기 보다,앞말보다 뒷말이 더 적절한 표현임.,,義務[[というより]]権利なんだよ,의무[[라기보다]] 권리야.,,
