앞면,뒷면,메모,학습제외,예문1,예문1_해석,예문2,예문2_해석
~ば~ほど / ~ほど,~하면 ~할수록,반복형 「聞けば聞くほど」와 단독형 「勉強するほど」를 함께 확인. 정도를 뜻하는 54번 「~ほど」와 구분.,,聞け[[ば]]聞く[[ほど]]わからなくなる,들으면 들을[[수록]] 알 수 없게 된다.,外国語は勉強する[[ほど]]難しくなる,외국어는 공부할[[수록]] 어려워진다.
~といっても,~라고는 해도,앞 내용을 인정하면서도 실제는 그 정도가 아니라는 뉘앙스.,,旅費が高い[[といっても]],여비가 비싸[[다고는 해도]],,
~はもちろん(のこと),~은 물론,그것은 당연하고 다른 것도 그러함. 「は言うまでもなく」와 유사.,,勉強について[[はもちろん]]のこと,공부에 대해서[[는 물론]]이고,,
~きる,끝까지 ~하다 / 완전히 ~하다,동작을 끝까지 다 함. 「~きれない」(다 못 함)와 짝.,,"1,000メートルを泳ぎ[[きった]]","1,000미터를 [[끝까지]] 헤엄쳤다.",,
~どおり,"~대로, ~한 그대로",어떤 것과 똑같이. 명사 뒤. 「予定どおり」 등.,,案内書[[どおり]]だった,안내서[[대로]]였다.,,
~反面,~한 반면,한 대상의 상반된 두 측면을 대조함.,,彼女はいつも明るい[[反面]],그녀는 늘 밝은 [[반면]],,
~こそ,~야말로,바로 그것임을 강조. 「今年こそ」 등.,,今年[[こそ]]大学に入れるよう,올해[[야말로]] 대학에 들어갈 수 있도록,,
~とか~とか,~라든가 ~라든가,여러 예를 나열함. [[구어적]].,,数学[[とか]]物理[[とか]],수학[[이라든가]] 물리[[라든가]],,
~べきだ,~해야 한다,당연히 그렇게 하는 것이 옳다는 의무·당위.,,すぐに警察に届ける[[べきだ]],바로 경찰에 신고[[해야 한다]].,,
~ことから,"~때문에, ~라는 점에서",어떤 사실을 근거·판단의 출발점으로 삼음.,,顔色が悪い[[ことから]],안색이 나쁘다[[는 점에서]],,
~ところだ,막 ~하려는 참이다,"ところ 계열: Vるところだ=막 하려는 참, Vているところだ=한창 하는 중, Vたところだ=막 한 참.",,会議が始まる[[ところ]]だった,회의가 막 시작되려는 [[참]]이었다.,,
~ほかない,~할 수 밖에 없다,다른 선택지가 없음. 「ほかはない」「よりほかない」와 유사.,,学校をやめて働く[[ほかなかった]],학교를 그만두고 일할 [[수밖에 없었다]].,,
~ことは~が,~하기는 ~지만,대조 문형. 앞의 동사를 다시 반복하는 구조라 한 카드로 유지.,,行った[[ことは]]行った[[が]],가[[기는]] 갔[[지만]],,
~としたら,~라고 한다면,어떤 상황을 가정함. 「とすれば」「とすると」와 유사.,,100万円があった[[としたら]],100만 엔이 [[있다고 한다면]],,
~ほど,~정도(로),그 정도임을 비유적으로 나타냄. 54번 정도의 「ほど」.,,もう一歩も歩けない[[ほど]],이제 한 걸음도 걸을 수 없을 [[정도로]],,
~ことはない,~할 필요는 없다,그렇게까지 할 필요가 없다는 조언·위로.,,怖がる[[ことはない]],무서워할 [[필요는 없다]].,,
~として,~로서,자격·입장·명목을 나타냄.,,卒業論文[[として]],졸업 논문[[으로서]],,
~際に,~일 때에,어떤 일을 하는 그 기회·시점에. 격식체. 「時に」와 유사.,,隣家を訪問した[[際に]],이웃집을 방문했을 [[때에]],,
