앞면,뒷면,메모,학습제외,예문1,예문1_해석
~てしかるべきだ,~해야 마땅하다,당연히 그렇게 되어야 한다는 당위. 격식체.,,経営計画も見直させ[[てしかるべきだ]],경영 계획도 재검토하게 하는 것이 [[마땅하다]].
~とは,~라니 / ~라고는,예상 밖의 사실에 대한 놀람·감탄을 나타냄.,,コーヒー一杯で2000円[[とは]]、,"커피 한 잔에 2,000엔[[이라니]],"
~でなくて何だろう,~이 아니고 뭐겠는가,바로 그것이라고 강하게 단정하는 수사 표현.,,これが愛[[でなくて何だろう]],이것이 사랑이 [[아니고 무엇이겠는가]].
~とはいえ,~라고는 해도,앞 내용을 인정하면서 뒤에 반대되는 사실. 「とはいうものの」와 유사.,,春[[とはいえ]]、まだ寒い,봄[[이라고는 해도]] 아직 춥다.
~ことだし,~하니까,여러 이유 중 하나를 가볍게 들어 근거로 삼음.,,学長も応援してくださる[[ことだし]],학장님도 응원해 주시[[기도 하니]]
~ではあるまいし,~도 아니고,“~인 것도 아닌데”라며 상대를 나무라거나 충고할 때.,,外国語で書くの[[ではあるまいし]],외국어로 쓰는 것도 [[아닐 텐데]]
~とばかりに,~라는 듯이 / ~라는 듯한 태도로,말은 안 했지만 그런 태도가 역력함을 나타냄.,,彼女は意外だ[[とばかりに]],그녀는 의외라는 [[듯이]]
~こととて,~이므로 / ~라서,사정·이유를 들어 양해를 구하는 [[문어체]]. 변명·사과에 자주.,,何も知らぬ[[こととて]]失礼いたしました,아무것도 몰랐던 [[탓에]] 실례했습니다.
~てはかなわない,~해서는 견딜 수 없다,그런 상태가 계속되면 곤란·괴롭다는 뉘앙스.,,毎日こう寒く[[てはかなわない]],매일 이렇게 [[추워서는 견딜 수 없다]].
~ともあろう,명색이 ~나 되는,그 정도 지위·입장이면 어울리지 않는 행동을 했을 때의 비난.,,大会社の社長[[ともあろう]],대기업 사장[[쯤이나 되는]] 사람이
~ざる,~하지 않는,「~ぬ」의 연체형. 「絶えざる」처럼 굳어진 문어 표현이 많음.,,絶え[[ざる]]努力が必要だ,[[끊임없는]] 노력이 필요하다.
~てはばからない,거리낌 없이 ~하다,남의 시선을 신경 쓰지 않고 거리낌 없이 함.,,断言し[[てはばからない]],[[거리낌 없이]] 단언하다.
~ともなく,딱히 ~하려 한 것도 없이,의식하지 않고 무심코 그 동작을 함.,,見る[[ともなく]]ぼんやり見ている,[[딱히 보려 한 것도 없이]] 멍하니 보고 있다.
~しまつだ,결국 ~하는 지경이다,나쁜 경과 끝에 안 좋은 결말에 이르렀음을 나타냄.,,怪我をさせてしまう[[しまつだ]],결국 다치게 하고 마는 [[지경이다]].
~手前,~한 이상 / 체면상,남의 시선·체면 때문에 그렇게 할 수밖에 없는 상황. 원본의 「彼女と言って」는 「彼女に言って」가 자연스러워 보정.,,彼女に言ってしまった[[手前]],그녀에게 말해 버린 [[이상]]
~ともなると,~정도가 되면,어떤 단계·입장이 되면 당연히 그렇다는 뉘앙스.,,12月[[ともなると]]寒くなる,12월[[쯤 되면]] 추워진다.
~ずくめ,"~투성이, 일색",온통 그것뿐임. 「黒ずくめ」「いいことずくめ」 등 관용적 결합이 많음.,,黒[[ずくめ]]の男,검은색 [[일색]]의 남자
~てもさしつかえない,"~해도 괜찮다,지장없다",그렇게 해도 문제·지장이 없다는 허가.,,専門家だといって[[もさしつかえない]],전문가라고 해[[도 지장 없다]].
~ないではすまない,~하지 않고는 끝나지 않는다 / 반드시 ~해야 한다,「ずにはすまない」와 같은 뜻. 사회적·도의적 의무.,,弁償し[[ないではすまない]],변상하지 [[않고는 끝나지 않는다]].
