앞면,뒷면,메모,학습제외,예문1,예문1_해석
~なんか,~따위,대상을 가볍게 보거나 낮춰 말함. 「など」의 구어체.,,あんな人の言うこと[[なんか]],저런 사람이 하는 말 [[따위]]
~ようとしない,~하려고 하지 않다,어떤 행동을 할 의지가 없음. 「~うとする」의 부정.,,医者に行こ[[うとしません]],의사에게 [[가려고 하지 않습니다]].
~たとえ~ても,비록 ~라고 해도,「たとえ」와 「ても」가 짝을 이루는 양보 문형이라 분리하지 않음.,,[[たとえ]]雪が降っ[[ても]],[[비록]] 눈이 온다고 [[해도]]
~において,"~에 있어서, ~에서",어떤 분야·장소·시점을 나타냄. 격식체. 「で」의 문어적 표현.,,人々の価値観[[において]],사람들의 가치관[[에 있어서]]
~ようにして,~하는 것처럼,마치 그런 모습으로. 동작의 양태를 나타냄.,,引きずる[[ようにして]]歩いています,질질 끄는 [[것처럼 해서]] 걷고 있습니다.
~たところ,~했더니,어떤 행동을 한 결과 뜻밖의 사실을 알게 됨.,,町を訪ね[[たところ]],마을을 [[찾아갔더니]]
~にかかわりなく,~에 관계없이,그것에 좌우되지 않음. 「にかかわらず」와 유사.,,相手の都合[[にかかわりなく]],상대의 사정에 [[관계없이]]
~わけだ,~라는 것이다 / 그래서 ~인 것이다 / ~인 것도 당연하다,"이유를 받아 결론을 말하거나, '그러니 당연하다/그럴 만하다'의 느낌이 날 수 있음.",,十日で終わる[[わけです]],열흘이면 [[끝난다는 것입니다]].
~たとたんに,~하자마자,한 동작 직후 곧바로 다음 일이 일어남. 「が早いか」와 유사.,,家を出[[たとたんに]],집을 [[나서자마자]]
~に限る,~하는 것이 제일이다,그것이 가장 좋다는 화자의 주관적 판단.,,冷えたビール[[に限る]],차가운 맥주가 [[최고다]].
~わけではない,~인 것은 아니다,그렇다고 전부 단정할 수는 없다는 부분 부정.,,勉強ばかりしていた[[わけではない]],공부만 하고 있었던 [[것은 아니다]].
~たびに,~할 때마다,그 일이 있을 때마다 매번 같은 일이 일어남.,,外国に行く[[たびに]],외국에 [[갈 때마다]]
~にかけては,~에 있어서는,그 분야의 능력·실력은 누구에게도 뒤지지 않음을 강조.,,足の速さ[[にかけては]],발 빠르기[[에 있어서는]]
~わけにはいかない,~할 수 없다,사정·도리상 그렇게 할 수 없음. 「ないわけにはいかない」와 짝.,,遊んでいる[[わけにはいかない]],놀고 [[있을 수는 없다]].
~だらけ,~투성이,바람직하지 않은 것이 잔뜩 있음. 「まみれ」와 달리 표면에 묻은 것 외에도 씀.,,間違い[[だらけ]]の手紙,실수[[투성이]]의 편지
~に代わって,~을 대신해서,어떤 것을 대신해 다른 것이 그 역할을 함.,,普通の電話[[に代わって]],보통 전화를 [[대신해서]]
~わりには,~에 비해서는,예상되는 정도와 실제가 어긋남. 「にしては」와 유사.,,年を取っている[[わりには]],나이를 먹은 [[것치고는]]
なんて~だろう,얼마나 ~한지 / 참 ~하다,놀람·감탄을 나타내는 감탄문. 「なんと~だろう」와 같음.,,何ておいしい果物[[だろう]],정말 맛있는 과일[[이구나]].
