앞면,뒷면,메모,학습제외,예문1,예문1_해석
残念なかぎりだ,그저 유감스럽기 짝이 없다.,"문형: [[~かぎりだ]]
뜻: 매우 ~하다
메모: 감정·심정의 정도가 극에 달함을 나타냄.
원본파일: N1-1-문형-02.csv
문형카드순번: 1",아니오,残念な[[かぎりだ]],그저 유감스럽기 [[짝이 없다]].
命を取られなかっただけましだ,목숨을 빼앗기지 않은 것만으로도 다행이다.,"문형: [[~だけましだ]]
뜻: ~만으로 다행이다
메모: 더 나쁠 수 있었는데 그나마 낫다는 뉘앙스.
원본파일: N1-1-문형-02.csv
문형카드순번: 2",아니오,命を取られなかった[[だけましだ]],목숨을 빼앗기지 않은 것[[만으로도 다행]]이다.
結婚して以来30年というもの,결혼한 이래 30년 동안 줄곧,"문형: [[~というもの]]
뜻: ~라는 기간 내내 / ~동안 줄곧
메모: 기간을 나타내는 말에 붙어 그동안 줄곧 이어졌음을 강조.
원본파일: N1-1-문형-02.csv
문형카드순번: 3",아니오,結婚して以来30年[[というもの]],결혼한 이래 30년 [[동안 줄곧]]
恩師に報告かたがた手紙を書いた,은사님께 보고도 할 겸 편지를 썼다.,"문형: [[~かたがた]]
뜻: 겸하여 / 아울러
메모: 한 행위에 다른 목적을 겸함. 주로 격식 있는 [[문어체]].
원본파일: N1-1-문형-02.csv
문형카드순번: 4",아니오,恩師に報告[[かたがた]]手紙を書いた,은사님께 보고[[도 할 겸]] 편지를 썼다.
ただ苦しいのみの人生,그저 괴로울 뿐인 인생,"문형: [[~ただ~のみ]]
뜻: 단지 ~ 뿐(만)
메모: 「ただ」와 「のみ」가 호응하는 제한 문형.
원본파일: N1-1-문형-02.csv
문형카드순번: 5",아니오,[[ただ]]苦しい[[のみ]]の人生,그저 괴로울 [[뿐인]] 인생
たとえ外国人といえども,설령 외국인이라고 해도,"문형: [[~といえども]]
뜻: ~라고는 해도
메모: 「たとえ~といえども」 형태로 자주 쓰임. 양보의 [[문어체]].
원본파일: N1-1-문형-02.csv
문형카드순번: 6",아니오,たとえ外国人[[といえども]],설령 외국인[[이라고 해도]]
大学院での研究のかたわら,대학원에서 연구하는 한편,"문형: [[~かたわら]]
뜻: ~하는 한편으로
메모: 본업·주된 일을 하면서 [[동시에]] 다른 일도 함.
원본파일: N1-1-문형-02.csv
문형카드순번: 7",아니오,大学院での研究の[[かたわら]],대학원에서 연구하는 [[한편]]
富士山はただ高いのみならず,후지산은 단지 높을 뿐만 아니라,"문형: [[~ただ~のみならず]]
뜻: 단지 ~ 뿐(만)아니라
메모: 「ただ~のみならず」는 한 덩어리로 “단지 ~뿐만 아니라”.
원본파일: N1-1-문형-02.csv
문형카드순번: 8",아니오,富士山は[[ただ]]高い[[のみならず]],후지산은 단지 높을 [[뿐만 아니라]]
汚いといったら(ありゃし)ない,더럽다고 하면 이루 말할 수 없다.,"문형: [[~といったら(ありゃし)ない]]
뜻: ~은 말로 다 할 수 없다
메모: 정도가 극심해 표현할 수 없을 때. 부정적 평가에 주로 사용.
원본파일: N1-1-문형-02.csv
문형카드순번: 9",아니오,汚い[[といったら(ありゃし)ない]],더럽다고 하면 [[이루 말할 수 없다]].
フリーマーケットをのぞきがてら,벼룩시장을 둘러볼 겸,"문형: [[~がてら]]
뜻: ~하는 김에, 겸사겸사
메모: 어떤 행위를 하는 김에 다른 일도 함. 「かたがた」보다 [[구어적]].
원본파일: N1-1-문형-02.csv
문형카드순번: 10",아니오,フリーマーケットをのぞき[[がてら]],벼룩시장을 둘러[[볼 겸]]
いくら働いたところで,아무리 일해 봤자,"문형: [[~たところで]]
뜻: ~해 봤자
메모: 아무리 해도 좋은 결과가 안 된다는 [[부정적 결론]].
원본파일: N1-1-문형-02.csv
문형카드순번: 11",아니오,いくら働い[[たところで]],아무리 일[[해 봤자]]
机の上といわず下といわず,책상 위고 아래고 할 것 없이,"문형: [[~といわず~といわず]]
뜻: ~ ~ 할 것 없이
메모: 「AといわずBといわず」처럼 A/B를 모두 부정·포괄하는 반복 문형.
원본파일: N1-1-문형-02.csv
문형카드순번: 12",아니오,机の上[[といわず]]下[[といわず]],책상 위[[고]] 아래[[고]] [[할 것 없이]]
警官の姿を見るが早いか,경관의 모습을 보자마자,"문형: [[~が早いか]]
뜻: ~하자마자
메모: 한 동작이 끝나기 무섭게 곧바로 다음 동작이 일어남.
원본파일: N1-1-문형-02.csv
문형카드순번: 13",아니오,警官の姿を見る[[が早いか]],경관의 모습을 [[보자마자]]
