앞면,뒷면,메모,학습제외,예문1,예문1_해석
日々の練習あっての勝利だ,나날의 연습이 있기에 가능한 승리다.,"문형: [[~あっての]]
뜻: ~가 있기에 가능한
원본파일: N1-1-문형-01.csv
문형카드순번: 1",아니오,日々の練習[[あっての]]勝利だ,나날의 연습이 [[있기에 가능한]] 승리다.
やめるわけは聞かずじまいだった,그만두는 이유는 결국 묻지 못한 채 끝났다.,"문형: [[~ずじまい]]
뜻: (하려 했으나) 결국 ~하지 못하고 끝남
메모: 못 한 채 끝나버린 [[아쉬움]]의 뉘앙스.
원본파일: N1-1-문형-01.csv
문형카드순번: 2",아니오,やめるわけは聞か[[ずじまい]]だった,그만두는 이유는 결국 묻지 [[못한 채 끝났다]].
負けてもともとだ,져도 본전이다.,"문형: [[~てもともとだ]]
뜻: 밑져야 본전이다 / 안 돼도 손해 볼 것 없다
메모: 도전·시도의 맥락. 「져도 본전이니 일단 해보자」.
원본파일: N1-1-문형-01.csv
문형카드순번: 3",아니오,負け[[てもともとだ]],져도 [[본전이다]].
商品の説明のし方いかんで,상품 설명 방식 여하에 따라,"문형: [[~いかんで]]
뜻: ~여하에 따라
메모: 결과가 달라지는 쪽. 「いかんにかかわらず/によらず」와 [[반대 방향]].
원본파일: N1-1-문형-01.csv
문형카드순번: 4",아니오,商品の説明のし方[[いかん]]で,상품 설명 방식 [[여하에 따라]]
仕返しをせずにはおかない,반드시 보복하고야 말겠다.,"문형: [[~ずにはおかない]]
뜻: 1) 반드시 ~하다 / ~하지 않고는 두지 않다
2) 자연히 ~하게 만들다
메모: 주체가 직접 하지 않고는 못 배기는 용법과, 사람의 마음을 움직여 ~하게 만드는 용법을 예문으로 구분.
원본파일: N1-1-문형-01.csv
문형카드순번: 5
예문순번: 1/2",아니오,仕返しをせ[[ずにはおかない]],반드시 [[보복하고야 말겠다]].
感動させずにはおかない,반드시 감동시키고야 만다.,"문형: [[~ずにはおかない]]
뜻: 1) 반드시 ~하다 / ~하지 않고는 두지 않다
2) 자연히 ~하게 만들다
메모: 주체가 직접 하지 않고는 못 배기는 용법과, 사람의 마음을 움직여 ~하게 만드는 용법을 예문으로 구분.
원본파일: N1-1-문형-01.csv
문형카드순번: 5
예문순번: 2/2",아니오,感動させ[[ずにはおかない]],반드시 [[감동시키고야 만다]].
君達の努力を期待してやまない,너희의 노력을 간절히 기대해 마지않는다.,"문형: [[~てやまない]]
뜻: ~해 마지않다
원본파일: N1-1-문형-01.csv
문형카드순번: 6",아니오,君達の努力を期待し[[てやまない]],너희의 노력을 간절히 [[기대해 마지않는다]].
試験の結果いかんでは,시험 결과 여하에 따라서는,"문형: [[~いかんでは]]
뜻: ~여하에 따라서는
메모: 결과가 달라지는 쪽.
원본파일: N1-1-문형-01.csv
문형카드순번: 7",아니오,試験の結果[[いかんでは]],시험 결과 [[여하에 따라서는]]
人一倍の努力と相まって,남보다 배의 노력과 맞물려,"문형: [[~と相まって]]
뜻: ~와 합쳐져서
원본파일: N1-1-문형-01.csv
문형카드순번: 8",아니오,人一倍の努力[[と相まって]],남보다 배의 노력과 [[맞물려]]
理由のいかんにかかわらず,이유 여하에 관계없이,"문형: [[~いかんにかかわらず]]
뜻: ~여하에 관계없이
메모: 결과가 안 달라지는 쪽. 「いかんで(は)」와 [[반대 방향]].
원본파일: N1-1-문형-01.csv
문형카드순번: 9",아니오,理由の[[いかんにかかわらず]],이유 [[여하에 관계없이]]
