앞면,뒷면,메모,학습제외,예문1,예문1_해석
毎年客が増える一方だ,매년 손님이 계속 늘기만 한다.,"문형: [[~一方だ]]
뜻: 계속 ~해지다
메모: 한 방향으로 변화가 계속됨. 「増える一方だ」 등.
원본파일: N3-N2-문형-01.csv
문형카드순번: 1",아니오,毎年客が増える[[一方だ]],매년 손님이 [[계속 늘기만 한다]].
禁煙してからは,금연하고 나서는,"문형: [[~てからは]]
뜻: ~하고 부터는
메모: 어떤 일을 계기로 그 후 상태가 바뀜.
원본파일: N3-N2-문형-01.csv
문형카드순번: 2",아니오,禁煙し[[てからは]],금연[[하고 나서는]]
この町の歴史について調べています,이 마을의 역사에 대해 조사하고 있습니다.,"문형: [[~について]]
뜻: ~에 대해
메모: 어떤 대상을 화제·주제로 삼음. 「に関して」와 유사.
원본파일: N3-N2-문형-01.csv
문형카드순번: 3",아니오,この町の歴史[[について]]調べています,이 마을의 역사[[에 대해]] 조사하고 있습니다.
昨夜は道に迷った上,어젯밤은 길을 잃은 데다가,"문형: [[~上(に)]]
뜻: ~한데다
메모: 영어 참고표기는 上に. 실제 문장에서는 上 / 上に 모두 보이며, 앞 사실에 더해 다른 사실을 덧붙이는 용법.
원본파일: N3-N2-문형-01.csv
문형카드순번: 4",아니오,昨夜は道に迷った[[上]],어젯밤은 길을 잃은 [[데다가]]
寒気がして仕方がない,한기가 들어 견딜 수가 없다.,"문형: [[~て仕方がない]]
뜻: ~해서 견딜수가 없다
메모: 감정·감각이 너무 강해 억누를 수 없음. 「てたまらない」와 유사.
원본파일: N3-N2-문형-01.csv
문형카드순번: 5",아니오,寒気がし[[て仕方がない]],한기가 들어 [[견딜 수가 없다]].
日本語が上手になるにつれて,일본어가 능숙해짐에 따라,"문형: [[~につれて]]
뜻: ~함에 따라
메모: 한쪽이 변하면 다른 쪽도 함께 변함. 「にしたがって」와 유사.
원본파일: N3-N2-문형-01.csv
문형카드순번: 6",아니오,日本語が上手になる[[につれて]],일본어가 [[능숙해짐에 따라]]
練習を重ねるうちに,연습을 거듭하는 사이에,"문형: [[~うちに]]
뜻: ~하는 동안에, ~일 때
메모: 그 상태가 지속되는 동안. 변화 전에 어떤 일을 함.
원본파일: N3-N2-문형-01.csv
문형카드순번: 7",아니오,練習を重ねる[[うちに]],연습을 거듭하는 [[사이에]]
目が疲れてしょうがない,눈이 피곤해서 못 견디겠다.,"문형: [[~てしょうがない]]
뜻: ~해서 미치겠다
메모: 「て仕方がない」의 구어체. 감정·감각이 매우 강함.
원본파일: N3-N2-문형-01.csv
문형카드순번: 8",아니오,目が疲れ[[てしょうがない]],눈이 피곤해서 [[못 견디겠다]].
石油は現代の工業にとって,석유는 현대 공업에 있어서,"문형: [[~にとって]]
뜻: ~에게 있어
메모: 그 입장에서 보면 어떠한가를 나타냄.
원본파일: N3-N2-문형-01.csv
문형카드순번: 9",아니오,石油は現代の工業[[にとって]],석유는 현대 공업[[에 있어서]]
発売された新薬のおかげで,출시된 신약 덕분에,"문형: [[~おかげで]]
뜻: 덕분에, 덕택에
메모: 좋은 결과의 원인·은혜. 반대는 「せいで」.
원본파일: N3-N2-문형-01.csv
문형카드순번: 10",아니오,発売された新薬の[[おかげで]],출시된 신약 [[덕분에]]
