앞면,뒷면,메모,학습제외,예문1,예문1_해석
以前にもまして頑張っている,이전보다도 더욱더 열심히 하고 있다.,"문형: [[~にもまして]]
뜻: ~보다도 더욱더
메모: 이전의 것과 비교해 그 이상으로 정도가 큼.
원본파일: N1-2-문형-02.csv
문형카드순번: 1",아니오,以前[[にもまして]]頑張っている,이전[[보다도 더욱더]] 열심히 하고 있다.
そのニュースが伝わるや否や,그 뉴스가 전해지자마자,"문형: [[~や否や]]
뜻: ~하자마자
메모: 한 동작 직후 곧바로 다음 일이 일어남. [[문어체]].
원본파일: N1-2-문형-02.csv
문형카드순번: 2",아니오,そのニュースが伝わる[[や否や]],그 뉴스가 [[전해지자마자]]
許可を得ることなしに,허가를 얻지 않고,"문형: [[~ことなしに]]
뜻: ~하지않고
메모: 그 행위를 거치지 않고. 「~없이는 ~할 수 없다」 형태로 자주.
원본파일: N1-2-문형-02.csv
문형카드순번: 3",아니오,許可を得ること[[なしに]],허가를 [[얻지 않고]]
わが社は学歴によらず,우리 회사는 학력에 관계없이,"문형: [[~によらず]]
뜻: ~에 관계없이
메모: 그것에 좌우되지 않음. 「いかんによらず」와 구분.
원본파일: N1-2-문형-02.csv
문형카드순번: 4",아니오,わが社は学歴[[によらず]],우리 회사는 학력에 [[관계없이]]
いったいどこへ行ったやら,도대체 어디로 갔는지,"문형: [[~やら]]
뜻: ~는지, ~인지
메모: 불확실함이나 여러 가지가 섞여 있음을 나타냄.
원본파일: N1-2-문형-02.csv
문형카드순번: 5",아니오,いったいどこへ行った[[やら]],도대체 [[어디로 갔는지]]
あの人ならではのものだ,그 사람이 아니면 불가능한 것이다.,"문형: [[~ならでは]]
뜻: ~가 아니면, ~만 가능한
메모: 그 대상만이 가진 고유함을 긍정적으로 평가.
원본파일: N1-2-문형-02.csv
문형카드순번: 6",아니오,あの人[[ならでは]]のものだ,그 사람이 [[아니면 불가능한]] 것이다.
光栄の至りです,더할 나위 없는 영광입니다.,"문형: [[~の至り]]
뜻: ~의 극치 / 더할 나위 없는 ~
메모: 「光栄の至り」「赤面の至り」 등 감정의 극한. 격식체.
원본파일: N1-2-문형-02.csv
문형카드순번: 7",아니오,光栄[[の至り]]です,[[더할 나위 없는 영광]]입니다.
新しい仕事は慣れぬことゆえ(の/に),새 일은 익숙하지 않은 까닭에,"문형: [[~ゆえ(の/に)]]
뜻: ~때문에, ~까닭에
메모: 「ゆえに」는 이유, 「ゆえの」는 명사 수식. 같은 뿌리라 한 카드로 유지.
원본파일: N1-2-문형-02.csv
문형카드순번: 8",아니오,新しい仕事は慣れぬこと[[ゆえ(の/に)]],새 일은 익숙하지 않은 [[까닭에]]
神様ならまだしも,신이라면 몰라도,"문형: [[~ならまだしも]]
뜻: ~라면 몰라도
메모: 그 경우라면 그나마 이해되지만 실제는 그 이상이라 곤란함.
원본파일: N1-2-문형-02.csv
문형카드순번: 9",아니오,神様[[ならまだしも]],신이[[라면 몰라도]]
疲労の極みに達している,피로가 극에 달해 있다.,"문형: [[~の極み]]
뜻: 최고의~ / ~의 극치
메모: 「贅沢の極み」「感激の極み」 등 정도의 극한. 「の至り」와 유사.
원본파일: N1-2-문형-02.csv
문형카드순번: 10",아니오,疲労[[の極みに]]達している,피로가 극[[에 달해]] 있다.
雨が降ろうが槍が降ろうが,비가 오든 창이 떨어지든,"문형: [[~ようが~ようが / ~ろうが~ろうが]]
뜻: ~하든 ~하든
메모: 의지형+が 패턴. 五段動詞는 降ろうが처럼 ろうが가 보일 수 있음.
원본파일: N1-2-문형-02.csv
문형카드순번: 11",아니오,雨が[[降ろうが]]槍が[[降ろうが]],비가 오[[든]] 창이 떨어지[[든]]
彼の顔を見るなり泣き始めた,그의 얼굴을 보자마자 울기 시작했다.,"문형: [[~なり]]
뜻: ~하자마자
메모: 「~や否や」와 비슷. 한 동작 직후 예상 밖의 행동이 이어짐.
원본파일: N1-2-문형-02.csv
문형카드순번: 12",아니오,彼の顔を見る[[なり]]泣き始めた,그의 얼굴을 [[보자마자]] 울기 시작했다.
そのさしみはうまいのなんの(って),그 회는 정말 말도 못하게 맛있다.,"문형: [[~のなんの(って)]]
뜻: 매우 ~하다
메모: 정도가 대단함을 [[구어적]]으로 강조하는 표현.
원본파일: N1-2-문형-02.csv
문형카드순번: 13",아니오,そのさしみはうまい[[のなんの(って)]],그 회는 정말 [[말도 못하게]] 맛있다.
あの人が来ようが来るまいが,그 사람이 오든 오지 않든,"문형: [[~ようが~まいが]]
뜻: ~든 말든
메모: 「~ようが~まいが」는 하든 말든이라는 별도 호응 문형. 222번과 구분.
원본파일: N1-2-문형-02.csv
문형카드순번: 14",아니오,あの人が[[来ようが来るまいが]],그 사람이 오[[든]] 오지 않[[든]]
ジュースなりコーラなり,주스든 콜라든,"문형: [[~なり~なり]]
뜻: ~이든~이든
메모: 「AなりBなり」는 선택 예시. 「~なりに / ~なりの」와 구분.
원본파일: N1-2-문형-02.csv
문형카드순번: 15",아니오,ジュース[[なり]]コーラ[[なり]],주스[[든]] 콜라[[든]]
