앞면,뒷면,메모,학습제외,예문1,예문1_해석
経営計画も見直させてしかるべきだ,경영 계획도 재검토하게 하는 것이 마땅하다.,"문형: [[~てしかるべきだ]]
뜻: ~해야 마땅하다
메모: 당연히 그렇게 되어야 한다는 당위. 격식체.
원본파일: N1-1-문형-04.csv
문형카드순번: 1",아니오,経営計画も見直させ[[てしかるべきだ]],경영 계획도 재검토하게 하는 것이 [[마땅하다]].
コーヒー一杯で2000円とは、,"커피 한 잔에 2,000엔이라니,","문형: [[~とは]]
뜻: ~라니 / ~라고는
메모: 예상 밖의 사실에 대한 놀람·감탄을 나타냄.
원본파일: N1-1-문형-04.csv
문형카드순번: 2",아니오,コーヒー一杯で2000円[[とは]]、,"커피 한 잔에 2,000엔[[이라니]],"
これが愛でなくて何だろう,이것이 사랑이 아니고 무엇이겠는가.,"문형: [[~でなくて何だろう]]
뜻: ~이 아니고 뭐겠는가
메모: 바로 그것이라고 강하게 단정하는 수사 표현.
원본파일: N1-1-문형-04.csv
문형카드순번: 3",아니오,これが愛[[でなくて何だろう]],이것이 사랑이 [[아니고 무엇이겠는가]].
春とはいえ、まだ寒い,봄이라고는 해도 아직 춥다.,"문형: [[~とはいえ]]
뜻: ~라고는 해도
메모: 앞 내용을 인정하면서 뒤에 반대되는 사실. 「とはいうものの」와 유사.
원본파일: N1-1-문형-04.csv
문형카드순번: 4",아니오,春[[とはいえ]]、まだ寒い,봄[[이라고는 해도]] 아직 춥다.
学長も応援してくださることだし,학장님도 응원해 주시기도 하니,"문형: [[~ことだし]]
뜻: ~하니까
메모: 여러 이유 중 하나를 가볍게 들어 근거로 삼음.
원본파일: N1-1-문형-04.csv
문형카드순번: 5",아니오,学長も応援してくださる[[ことだし]],학장님도 응원해 주시[[기도 하니]]
外国語で書くのではあるまいし,외국어로 쓰는 것도 아닐 텐데,"문형: [[~ではあるまいし]]
뜻: ~도 아니고
메모: “~인 것도 아닌데”라며 상대를 나무라거나 충고할 때.
원본파일: N1-1-문형-04.csv
문형카드순번: 6",아니오,外国語で書くの[[ではあるまいし]],외국어로 쓰는 것도 [[아닐 텐데]]
彼女は意外だとばかりに,그녀는 의외라는 듯이,"문형: [[~とばかりに]]
뜻: ~라는 듯이 / ~라는 듯한 태도로
메모: 말은 안 했지만 그런 태도가 역력함을 나타냄.
원본파일: N1-1-문형-04.csv
문형카드순번: 7",아니오,彼女は意外だ[[とばかりに]],그녀는 의외라는 [[듯이]]
何も知らぬこととて失礼いたしました,아무것도 몰랐던 탓에 실례했습니다.,"문형: [[~こととて]]
뜻: ~이므로 / ~라서
메모: 사정·이유를 들어 양해를 구하는 [[문어체]]. 변명·사과에 자주.
원본파일: N1-1-문형-04.csv
문형카드순번: 8",아니오,何も知らぬ[[こととて]]失礼いたしました,아무것도 몰랐던 [[탓에]] 실례했습니다.
毎日こう寒くてはかなわない,매일 이렇게 추워서는 견딜 수 없다.,"문형: [[~てはかなわない]]
뜻: ~해서는 견딜 수 없다
메모: 그런 상태가 계속되면 곤란·괴롭다는 뉘앙스.
원본파일: N1-1-문형-04.csv
문형카드순번: 9",아니오,毎日こう寒く[[てはかなわない]],매일 이렇게 [[추워서는 견딜 수 없다]].
大会社の社長ともあろう,대기업 사장쯤이나 되는 사람이,"문형: [[~ともあろう]]
뜻: 명색이 ~나 되는
메모: 그 정도 지위·입장이면 어울리지 않는 행동을 했을 때의 비난.
원본파일: N1-1-문형-04.csv
문형카드순번: 10",아니오,大会社の社長[[ともあろう]],대기업 사장[[쯤이나 되는]] 사람이
