앞면,뒷면,메모,학습제외,예문1,예문1_해석
あんな人の言うことなんか,저런 사람이 하는 말 따위,"문형: [[~なんか]]
뜻: ~따위
메모: 대상을 가볍게 보거나 낮춰 말함. 「など」의 구어체.
원본파일: N3-N2-문형-05.csv
문형카드순번: 1",아니오,あんな人の言うこと[[なんか]],저런 사람이 하는 말 [[따위]]
医者に行こうとしません,의사에게 가려고 하지 않습니다.,"문형: [[~ようとしない]]
뜻: ~하려고 하지 않다
메모: 어떤 행동을 할 의지가 없음. 「~うとする」의 부정.
원본파일: N3-N2-문형-05.csv
문형카드순번: 2",아니오,医者に行こ[[うとしません]],의사에게 [[가려고 하지 않습니다]].
たとえ雪が降っても,비록 눈이 온다고 해도,"문형: [[~たとえ~ても]]
뜻: 비록 ~라고 해도
메모: 「たとえ」와 「ても」가 짝을 이루는 양보 문형이라 분리하지 않음.
원본파일: N3-N2-문형-05.csv
문형카드순번: 3",아니오,[[たとえ]]雪が降っ[[ても]],[[비록]] 눈이 온다고 [[해도]]
人々の価値観において,사람들의 가치관에 있어서,"문형: [[~において]]
뜻: ~에 있어서, ~에서
메모: 어떤 분야·장소·시점을 나타냄. 격식체. 「で」의 문어적 표현.
원본파일: N3-N2-문형-05.csv
문형카드순번: 4",아니오,人々の価値観[[において]],사람들의 가치관[[에 있어서]]
引きずるようにして歩いています,질질 끄는 것처럼 해서 걷고 있습니다.,"문형: [[~ようにして]]
뜻: ~하는 것처럼
메모: 마치 그런 모습으로. 동작의 양태를 나타냄.
원본파일: N3-N2-문형-05.csv
문형카드순번: 5",아니오,引きずる[[ようにして]]歩いています,질질 끄는 [[것처럼 해서]] 걷고 있습니다.
町を訪ねたところ,마을을 찾아갔더니,"문형: [[~たところ]]
뜻: ~했더니
메모: 어떤 행동을 한 결과 뜻밖의 사실을 알게 됨.
원본파일: N3-N2-문형-05.csv
문형카드순번: 6",아니오,町を訪ね[[たところ]],마을을 [[찾아갔더니]]
相手の都合にかかわりなく,상대의 사정에 관계없이,"문형: [[~にかかわりなく]]
뜻: ~에 관계없이
메모: 그것에 좌우되지 않음. 「にかかわらず」와 유사.
원본파일: N3-N2-문형-05.csv
문형카드순번: 7",아니오,相手の都合[[にかかわりなく]],상대의 사정에 [[관계없이]]
十日で終わるわけです,열흘이면 끝난다는 것입니다.,"문형: [[~わけだ]]
뜻: ~라는 것이다 / 그래서 ~인 것이다 / ~인 것도 당연하다
메모: 이유를 받아 결론을 말하거나, '그러니 당연하다/그럴 만하다'의 느낌이 날 수 있음.
원본파일: N3-N2-문형-05.csv
문형카드순번: 8",아니오,十日で終わる[[わけです]],열흘이면 [[끝난다는 것입니다]].
家を出たとたんに,집을 나서자마자,"문형: [[~たとたんに]]
뜻: ~하자마자
메모: 한 동작 직후 곧바로 다음 일이 일어남. 「が早いか」와 유사.
원본파일: N3-N2-문형-05.csv
문형카드순번: 9",아니오,家を出[[たとたんに]],집을 [[나서자마자]]
冷えたビールに限る,차가운 맥주가 최고다.,"문형: [[~に限る]]
뜻: ~하는 것이 제일이다
메모: 그것이 가장 좋다는 화자의 주관적 판단.
원본파일: N3-N2-문형-05.csv
문형카드순번: 10",아니오,冷えたビール[[に限る]],차가운 맥주가 [[최고다]].
