앞면,뒷면,메모,학습제외,예문1,예문1_해석
大金持ちだとしても,큰 부자라고 해도,"문형: [[~としても]]
뜻: ~라고 해도
메모: 어떤 일을 가정해 인정해도 결과는 같다는 양보.
원본파일: N3-N2-문형-04.csv
문형카드순번: 1",아니오,大金持ちだ[[としても]],큰 부자[[라고 해도]]
今年の夏ほど暑い夏はないね,올여름만큼 더운 여름은 없네.,"문형: [[~ほど~はない]]
뜻: ~만큼 ~은 없다
메모: 그것이 가장 ~하다는 최상급 표현.
원본파일: N3-N2-문형-04.csv
문형카드순번: 2",아니오,今年の夏[[ほど]]暑い夏[[はない]]ね,올여름[[만큼]] 더운 여름[[은 없네]].
今検討している最中です,지금 검토하고 있는 중입니다.,"문형: [[~最中だ / ~最中に]]
뜻: ~하는 도중
메모: 「最中だ」는 문장 끝, 「最中に」는 뒤에 사건이 이어지는 형태.
원본파일: N3-N2-문형-04.csv
문형카드순번: 3",아니오,今検討している[[最中]]です,지금 검토하고 [[있는 중입니다]].
彼がやったとすると,그가 했다고 한다면,"문형: ~と[すると(すれば/したら)]
뜻: ~라고 한다면
메모: すると/すれば/したら는 조건 표현 변형. [[같은 의미]]라 한 카드로 유지.
원본파일: N3-N2-문형-04.csv
문형카드순번: 4",아니오,彼がやった[[とすると]],그가 [[했다고 한다면]]
子供向きのかわいいデザインのものだ,어린이용의 귀여운 디자인인 것이다.,"문형: [[~向き / ~向きの]]
뜻: ~에게 적합한 / ~용
메모: 向き는 대상에게 알맞다는 뜻. 명사 수식에는 「~向きの」도 가능. 「向け」(전용)와 구분.
원본파일: N3-N2-문형-04.csv
문형카드순번: 5",아니오,子供[[向きの]]かわいいデザインのものだ,어린이[[용]]의 귀여운 디자인인 것이다.
夏でさえ雪が残っている,여름에도 눈이 남아 있다.,"문형: [[~さえ]]
뜻: ~조차
메모: 극단적인 예를 들어 다른 것은 말할 것도 없음을 강조.
원본파일: N3-N2-문형-04.csv
문형카드순번: 6",아니오,夏で[[さえ]]雪が残っている,여름[[에도]] 눈이 남아 있다.
1杯の水とともに飲んだ,물 한 컵과 함께 먹었다.,"문형: [[~とともに]]
뜻: ~와 함께 / ~와 동시에 / ~함에 따라
메모: 동시·수반·변화의 세 가지 뉘앙스가 있음.
원본파일: N3-N2-문형-04.csv
문형카드순번: 7",아니오,1杯の水[[とともに]]飲んだ,물 한 컵과 [[함께]] 먹었다.
幼児向けに書かれた本です,유아용으로 쓰인 책입니다.,"문형: [[~向けに]]
뜻: ~용으로
메모: 특정 대상을 겨냥해 만듦. 「向き」(적합)와 달리 의도적 대상 설정.
원본파일: N3-N2-문형-04.csv
문형카드순번: 8",아니오,幼児[[向けに]]書かれた本です,유아[[용으로]] 쓰인 책입니다.
薬を飲みさえすれば,약을 먹기만 하면,"문형: [[~さえすれば]]
뜻: ~하기만 하면
메모: 그 조건만 충족하면 충분하다는 한정.
원본파일: N3-N2-문형-04.csv
문형카드순번: 9",아니오,薬を飲み[[さえすれば]],약을 먹[[기만 하면]]
いつも当たるとはかぎらない,언제나 맞는다고는 할 수 없다.,"문형: [[~とはかぎらない]]
뜻: ~라고는 할 수 없다
메모: 반드시 그렇다고 단정할 수 없다는 부분 부정.
원본파일: N3-N2-문형-04.csv
문형카드순번: 10",아니오,いつも当たる[[とはかぎらない]],언제나 [[맞는다고는 할 수 없다]].
性格もよければ頭もよさそうです,성격도 좋고 머리도 좋아 보입니다.,"문형: [[~も~ば~も]]
뜻: ~도 ~하고 ~도
메모: 기본 패턴은 「~も~ば~も」. 예문에서는 よい→よければ처럼 활용됨.
원본파일: N3-N2-문형-04.csv
문형카드순번: 11",아니오,性格[[も]]よ[[ければ]]頭[[も]]よさそうです,성격[[도]] 좋[[고]] 머리[[도]] 좋아 보입니다.
最後までやるしかない,끝까지 할 수밖에 없다.,"문형: [[~しかない]]
뜻: ~할 수 밖에 없다
메모: 그 외에 다른 방법이 없음. 「ほかない」와 유사.
원본파일: N3-N2-문형-04.csv
문형카드순번: 12",아니오,最後までやる[[しかない]],끝까지 할 [[수밖에 없다]].
雨が降ったとみえて,비가 온 것 같아서,"문형: [[~とみえて]]
뜻: ~인 듯해서 / ~인 것 같아서
메모: 어떤 근거로 그렇게 추측됨.
원본파일: N3-N2-문형-04.csv
문형카드순번: 13",아니오,雨が降った[[とみえて]],비가 [[온 것 같아서]]
連絡のしようがありません,연락할 방법이 없습니다.,"문형: [[~ようがない / ~ようもない]]
뜻: ~하려 해도 할 수 없다
메모: 「ようがない」와 「ようもない」는 거의 [[같은 의미]]. 동사의 ます형 + よう에 붙음.
원본파일: N3-N2-문형-04.csv
문형카드순번: 14",아니오,連絡のし[[ようがありません]],연락할 [[방법이 없습니다]].
急に休んだせいで,갑자기 쉰 탓에,"문형: [[~せいで]]
뜻: ~탓에
메모: 나쁜 결과의 원인·책임. 반대는 「おかげで」.
원본파일: N3-N2-문형-04.csv
문형카드순번: 15",아니오,急に休んだ[[せいで]],갑자기 쉰 [[탓에]]
出席しないわけにはいかない,출석하지 않을 수 없다.,"문형: [[~ないわけにはいかない]]
뜻: ~하지 않을 수 없다
메모: 사정·도리상 하지 않을 수 없음. 「わけにはいかない」 계열.
원본파일: N3-N2-문형-04.csv
문형카드순번: 16",아니오,出席し[[ないわけにはいかない]],출석[[하지 않을 수 없다]].
もう時間のようですので,이제 시간이 된 것 같으므로,"문형: [[~ようだ]]
뜻: ~인 것 같다
메모: 근거에 따른 추측·비유. 「みたいだ」의 격식체.
원본파일: N3-N2-문형-04.csv
문형카드순번: 17",아니오,もう時間の[[ようです]]ので,이제 시간이 된 [[것 같으므로]]
ただ肉や魚だけでなく,단지 고기나 생선뿐만 아니라,"문형: [[~ただ~だけでなく]]
뜻: 단지 ~뿐만 아니고
메모: 「ただ~だけでなく」 전체가 “단지 ~뿐만 아니라”라는 한 문형.
원본파일: N3-N2-문형-04.csv
문형카드순번: 18",아니오,[[ただ]]肉や魚[[だけでなく]],[[단지]] 고기나 생선[[뿐만 아니라]]
