앞면,뒷면,메모,학습제외,예문1,예문1_해석
兄は上着を着ると,형은 윗옷을 입더니,"문형: [[~と]]
뜻: ~하고 나서, ~하더니
메모: 한 동작에 이어 곧바로 다음 일이 일어남(연속·발견).
원본파일: N3-N2-문형-02.csv
문형카드순번: 1",아니오,兄は上着を着る[[と]],형은 윗옷을 [[입더니]]
雷が落ちたかと思うほど,벼락이 떨어진 줄 알 정도로,"문형: [[~かと思うほど]]
뜻: ~라고 생각될 정도로
메모: 그렇게 느껴질 만큼 정도가 대단함을 비유.
원본파일: N3-N2-문형-02.csv
문형카드순번: 2",아니오,雷が落ちた[[かと思うほど]],벼락이 떨어진 [[줄 알 정도로]]
意見を聞くといいのに,의견을 들으면 좋을 텐데,"문형: [[~といいのに]]
뜻: ~하면 좋을 텐데
메모: 실현되지 않은 일에 대한 [[아쉬움]]·바람.
원본파일: N3-N2-문형-02.csv
문형카드순번: 3",아니오,意見を聞く[[といいのに]],의견을 [[들으면 좋을 텐데]]
店によっては７時にしまってしまう,가게에 따라서는 7시에 닫아 버린다.,"문형: [[~によっては]]
뜻: ~에 따라서는
메모: 경우에 따라 결과가 달라짐. 「によって」(3번 뜻)와 유사.
원본파일: N3-N2-문형-02.csv
문형카드순번: 4",아니오,店[[によっては]]７時にしまってしまう,가게[[에 따라서는]] 7시에 닫아 버린다.
一瞬の不注意から,순간의 부주의로 인해,"문형: [[~から]]
뜻: ~로 인해
메모: 원인·이유를 나타냄. 「~から」의 명사+から 형태.
원본파일: N3-N2-문형-02.csv
문형카드순번: 5",아니오,一瞬の不注意[[から]],순간의 부주의[[로 인해]]
結婚するという知らせが来た,결혼한다는 소식이 왔다.,"문형: [[~という]]
뜻: ~라고 하는
메모: 내용을 명사에 연결해 설명. 전문·인용.
원본파일: N3-N2-문형-02.csv
문형카드순번: 6",아니오,結婚する[[という]]知らせが来た,결혼한다[[는]] 소식이 왔다.
テレビの長期予報によると,텔레비전 장기 예보에 따르면,"문형: [[~によると]]
뜻: ~에 따르면
메모: 정보의 출처·근거를 나타냄. 뒤에 「~そうだ」 등이 자주 옴.
원본파일: N3-N2-문형-02.csv
문형카드순번: 7",아니오,テレビの長期予報[[によると]],텔레비전 장기 예보[[에 따르면]]
成績がよかったからこそ,성적이 좋았기 때문에야말로,"문형: [[~からこそ]]
뜻: ~이니까, ~이기 때문에
메모: 바로 그 이유임을 강조. 「ばこそ」의 일상체.
원본파일: N3-N2-문형-02.csv
문형카드순번: 8",아니오,成績がよかった[[からこそ]],성적이 좋았기 [[때문에야말로]]
解決に向かったということだ,해결로 향했다고 한다.,"문형: ~と[いう(の)]ことだ
뜻: ~라고 한다
메모: 전달/전문 용법. 비슷한 형태의 「~ということだ」(즉 ~라는 것이다)와 뜻을 구분.
원본파일: N3-N2-문형-02.csv
문형카드순번: 9",아니오,解決に向かった[[ということだ]],해결로 향[[했다고 한다]].
台風が日本全域にわたって,태풍이 일본 전역에 걸쳐,"문형: [[~にわたって]]
뜻: ~에 걸쳐서
메모: 기간·범위 전체에 미침. 「にわたる」도 있음.
원본파일: N3-N2-문형-02.csv
문형카드순번: 10",아니오,台風が日本全域[[にわたって]],태풍이 일본 전역[[에 걸쳐]]
東北から関東にかけて,도호쿠부터 간토에 걸쳐,"문형: [[~から~にかけて]]
뜻: ~부터 ~에 걸쳐서
메모: 범위의 시작과 끝을 나타내는 한 덩어리 문형이라 분리하지 않음.
원본파일: N3-N2-문형-02.csv
문형카드순번: 11",아니오,東北[[から]]関東[[にかけて]],도호쿠[[부터]] 간토[[에 걸쳐]]
会議は延期だということだ,회의는 연기라는 것이다.,"문형: [[~ということだ]]
뜻: ~라는 것이다
메모: 앞 내용으로부터 끌어내는 결론·해석. 「と(いう(の))ことだ」(전문)와 구분.
원본파일: N3-N2-문형-02.csv
문형카드순번: 12",아니오,会議は延期だ[[ということだ]],회의는 연기[[라는 것이다]].
今日は頭が痛いばかりでなく,오늘은 머리가 아플 뿐만 아니라,"문형: [[~ばかりでなく]]
뜻: ~뿐만 아니라
메모: 그것에 더해 다른 것도 그러함. 「だけでなく」와 유사.
원본파일: N3-N2-문형-02.csv
문형카드순번: 13",아니오,今日は頭が痛い[[ばかりでなく]],오늘은 머리가 아플 [[뿐만 아니라]]
引き受けたからには,맡은 이상은,"문형: [[~からには]]
뜻: ~한 이상은
메모: 그렇게 된 이상 당연히 ~해야 한다는 각오·당위.
원본파일: N3-N2-문형-02.csv
문형카드순번: 14",아니오,引き受けた[[からには]],맡은 [[이상은]]
JLPTというのは,JLPT라는 것은,"문형: [[~というのは]]
뜻: ~라는 것은
메모: 어떤 말의 정의·의미를 설명할 때.
원본파일: N3-N2-문형-02.csv
문형카드순번: 15",아니오,JLPT[[というのは]],JLPT[[라는 것은]]
