앞면,뒷면,메모,학습제외,예문1,예문1_해석
目に悪いに決まっている,눈에 나쁜 것이 틀림없다.,"문형: [[~に決まっている]]
뜻: ~인 것이 당연하다
메모: 틀림없이 그러하다는 강한 확신. 「に違いない」와 유사.
원본파일: N3-N2-문형-06.csv
문형카드순번: 1",아니오,目に悪い[[に決まっている]],눈에 나쁜 것이 [[틀림없다]].
春のハイキングをきっかけに,봄 하이킹을 계기로,"문형: [[~をきっかけに]]
뜻: ~을 계기로 (해서)
메모: 어떤 일을 계기로 변화·시작이 일어남. 「を契機に」와 유사.
원본파일: N3-N2-문형-06.csv
문형카드순번: 2",아니오,春のハイキング[[をきっかけに]],봄 하이킹을 [[계기로]]
会議に出席するついでに,회의에 참석하는 김에,"문형: [[~ついでに]]
뜻: ~하는 김에
메모: 주된 일을 하는 기회에 다른 일도 함.
원본파일: N3-N2-문형-06.csv
문형카드순번: 3",아니오,会議に出席する[[ついでに]],회의에 참석[[하는 김에]]
おとなしい兄に比べて,얌전한 형에 비해,"문형: [[~に比べて]]
뜻: ~에 비해서
메모: 두 대상을 비교해 차이를 나타냄.
원본파일: N3-N2-문형-06.csv
문형카드순번: 4",아니오,おとなしい兄[[に比べて]],얌전한 형[[에 비해]]
私たちの感謝を込めて,우리의 감사를 담아,"문형: [[~を込めて]]
뜻: ~을 담아서
메모: 마음·정성을 담아 어떤 행동을 함.
원본파일: N3-N2-문형-06.csv
문형카드순번: 5",아니오,私たちの感謝[[を込めて]],우리의 감사[[를 담아]]
試験は五番教室だっけ,시험은 5번 교실이었지?,"문형: [[~っけ]]
뜻: ~였나?
메모: 잊었거나 확실치 않은 것을 떠올리며 확인. 구어체.
원본파일: N3-N2-문형-06.csv
문형카드순번: 6",아니오,試験は五番教室だ[[っけ]],시험은 5번 교실[[이었지]]?
警察の調べが進むに従って,경찰 조사가 진행됨에 따라,"문형: [[~に従って]]
뜻: ~함에 따라
메모: 한쪽이 변하면 다른 쪽도 함께 변함. 「につれて」와 유사.
원본파일: N3-N2-문형-06.csv
문형카드순번: 7",아니오,警察の調べが進む[[に従って]],경찰 조사가 [[진행됨에 따라]]
委員長の秋山君を中心にして,위원장인 아키야마 군을 중심으로 해서,"문형: [[~を中心に(して)]]
뜻: ~을 중심으로
메모: 어떤 것을 핵심·기준으로 삼아.
원본파일: N3-N2-문형-06.csv
문형카드순번: 8",아니오,委員長の秋山君[[を中心にして]],위원장인 아키야마 군을 [[중심으로 해서]]
来週の授業は休みだって,다음 주 수업은 쉰대.,"문형: [[~って]]
뜻: 1) ~래 / ~라고 하다
2) ~라는 / ~라는 것은
메모: 구어체. 전달/전문 용법과 인용·화제 제시 용법을 예문으로 구분.
원본파일: N3-N2-문형-06.csv
문형카드순번: 9
예문순번: 1/2",아니오,来週の授業は休み[[だって]],다음 주 수업은 [[쉰대]].
WWYDって何ですか,WWYD라는 게 뭐예요?,"문형: [[~って]]
뜻: 1) ~래 / ~라고 하다
2) ~라는 / ~라는 것은
메모: 구어체. 전달/전문 용법과 인용·화제 제시 용법을 예문으로 구분.
원본파일: N3-N2-문형-06.csv
문형카드순번: 9
예문순번: 2/2",아니오,WWYD[[って]]何ですか,WWYD[[라는 게]] 뭐예요?
