앞면,뒷면,메모,학습제외,예문1,예문1_해석
合格すべく勉強する,합격하고자 공부하다.,"문형: [[~べく]]
뜻: ~하려고、~하고자
메모: 어떤 목적을 이루기 위해. 「べし」의 연용형. [[문어체]].
원본파일: N1-2-문형-04.csv
문형카드순번: 1",아니오,合格す[[べく]]勉強する,합격[[하고자]] 공부하다.
働くことの厳しさを身をもって経験した,일하는 것의 엄격함을 몸소 경험했다.,"문형: [[身をもって]]
뜻: 몸소 / 직접 체험하여
메모: 자기 몸으로 직접 겪어 절실히 안다는 뉘앙스.
원본파일: N1-2-문형-04.csv
문형카드순번: 2",아니오,働くことの厳しさを[[身をもって]]経験した,일하는 것의 엄격함을 [[몸소]] 경험했다.
子どもの心のうちは想像に難くない,아이의 속마음은 상상하기 어렵지 않다.,"문형: [[~に難くない]]
뜻: ~하기 어렵지 않다
메모: 「想像に難くない」가 대표 형태. 쉽게 짐작할 수 있음.
원본파일: N1-2-문형-04.csv
문형카드순번: 3",아니오,子どもの心のうちは想像[[に難くない]],아이의 속마음은 상상하기 [[어렵지 않다]].
マイホームを手に入れるべくもない,내 집을 손에 넣을 방도가 전혀 없다.,"문형: [[~べくもない]]
뜻: 도저히 ~할 방도가 없다
메모: 그렇게 할 가능성·수단이 전혀 없음. [[문어체]].
원본파일: N1-2-문형-04.csv
문형카드순번: 4",아니오,マイホームを手に入れる[[べくもない]],내 집을 손에 넣을 [[방도가 전혀 없다]].
風雨をものともせず(に)出発した,비바람을 개의치 않고 출발했다.,"문형: [[~をものともせず(に)]]
뜻: ~을 개의치 않고
메모: 곤란·역경을 아랑곳하지 않고 맞섬. 긍정적 평가.
원본파일: N1-2-문형-04.csv
문형카드순번: 5",아니오,風雨[[をものともせず(に)]]出発した,비바람을 [[개의치 않고]] 출발했다.
早くうちに帰るにこしたことはない,빨리 집에 돌아가는 것보다 나은 것은 없다.,"문형: [[~にこしたことはない]]
뜻: ~보다 나은 것은 없다
메모: 그렇게 하는 편이 가장 좋다는 권유.
원본파일: N1-2-문형-04.csv
문형카드순번: 6",아니오,早くうちに帰る[[にこしたことはない]],빨리 집에 돌아가는 것보다 [[나은 것은 없다]].
殺人なんて許すまじきこと,살인 따위는 용서해서는 안 되는 일,"문형: [[~まじき]]
뜻: ~해서는 안되는
메모: 그 입장에 있는 사람이 해서는 안 될 행동. 「あるまじき」 등. [[문어체]].
원본파일: N1-2-문형-04.csv
문형카드순번: 7",아니오,殺人なんて許す[[まじき]]こと,살인 따위는 [[용서해서는 안 되는]] 일
支店開設の中止を余儀なくさせる,지점 개설을 중지할 수밖에 없게 만들다.,"문형: [[~を余儀なくさせる]]
뜻: 어쩔수없이~하게하다
메모: 주어가 상대를 어쩔 수 없이 그렇게 만듦(사역).
원본파일: N1-2-문형-04.csv
문형카드순번: 8",아니오,支店開設の中止[[を余儀なくさせる]],지점 개설을 중지[[할 수밖에 없게 만들다]].
プロにしてはじめて出来ること,프로가 되어서야 비로소 할 수 있는 일,"문형: [[~にしてはじめて]]
뜻: ~이 되어서야 비로소
메모: 그 단계·자격에 이르러서야 가능함.
원본파일: N1-2-문형-04.csv
문형카드순번: 9",아니오,プロ[[にしてはじめて]]出来ること,프로가 [[되어서야 비로소]] 할 수 있는 일
ちょっと気になったまでだ,그저 조금 신경 쓰였을 뿐이다.,"문형: [[~までだ]]
뜻: 1) 그저 ~할 뿐이다
2) ~하면 그만이다
메모: 「気になったまでだ」는 단순한 이유/한계, 「待つまでだ」는 그렇게 하면 그만이라는 판단.
원본파일: N1-2-문형-04.csv
문형카드순번: 10
예문순번: 1/2",아니오,ちょっと気になった[[までだ]],그저 조금 신경 [[쓰였을 뿐이다]].
帰って来るのを待つまでだ,돌아오기를 기다리면 그만이다.,"문형: [[~までだ]]
뜻: 1) 그저 ~할 뿐이다
2) ~하면 그만이다
메모: 「気になったまでだ」는 단순한 이유/한계, 「待つまでだ」는 그렇게 하면 그만이라는 판단.
원본파일: N1-2-문형-04.csv
문형카드순번: 10
예문순번: 2/2",아니오,帰って来るのを待つ[[までだ]],돌아오기를 [[기다리면 그만이다]].
テント暮らしを余儀なくされた,텐트 생활을 할 수밖에 없게 되었다.,"문형: [[~を余儀なくされる]]
뜻: 어쩔 수 없이 ~하게 되다
메모: 주어가 어쩔 수 없이 그 상황에 처함(수동). 「させる」와 짝.
원본파일: N1-2-문형-04.csv
문형카드순번: 11",아니오,テント暮らし[[を余儀なくされた]],텐트 생활을 [[할 수밖에 없게 되었다]].
社長にして詩人でもある,사장이면서 동시에 시인이기도 하다.,"문형: [[~にして]]
뜻: 1) ~이면서 동시에
2) ~조차도
메모: 「社長にして詩人」은 동시 성질, 「優等生にして」는 “조차도”의 강조.
원본파일: N1-2-문형-04.csv
문형카드순번: 12
예문순번: 1/2",아니오,社長[[にして]]詩人でもある,사장[[이면서 동시에]] 시인이기도 하다.
優等生にして解けない問題,우등생조차 풀 수 없는 문제,"문형: [[~にして]]
뜻: 1) ~이면서 동시에
2) ~조차도
메모: 「社長にして詩人」은 동시 성질, 「優等生にして」는 “조차도”의 강조.
원본파일: N1-2-문형-04.csv
문형카드순번: 12
예문순번: 2/2",아니오,優等生[[にして]]解けない問題,우등생[[조차]] 풀 수 없는 문제
