앞면,뒷면,메모,학습제외,예문1,예문1_해석
出かけようにも出かけられない,나가고 싶어도 나갈 수 없다.,"문형: [[~ようにも~ない]]
뜻: ~하고 싶어도 ~할수없다
메모: 뒤의 불가능/부정까지 포함해야 “하고 싶어도 못함” 의미가 완성됨.
원본파일: N1-2-문형-03.csv
문형카드순번: 1",아니오,出かけ[[ようにも]]出かけられ[[ない]],나가고 [[싶어도]] [[나갈 수 없다]].
動物の世界にあっても愛情がある,동물의 세계에 있어서도 애정이 있다.,"문형: [[~にあって]]
뜻: ~에 있어서 / ~에서
메모: 어떤 특별한 상황·시기·장소에 처해 있음. [[문어체]].
원본파일: N1-2-문형-03.csv
문형카드순번: 2",아니오,動物の世界[[にあって]]も愛情がある,동물의 세계[[에 있어서]]도 애정이 있다.
漢字はおろか平仮名も読めない,한자는커녕 히라가나도 읽지 못한다.,"문형: [[~はおろか]]
뜻: ~은커녕 / ~은 말할 것도 없고
메모: 더 기본적인 것조차 안 됨을 강조. 뒤에 부정·부정적 내용.
원본파일: N1-2-문형-03.csv
문형카드순번: 3",아니오,漢字[[はおろか]]平仮名も読めない,한자[[는커녕]] 히라가나도 읽지 못한다.
来月は久しぶりのご上京の由,다음 달 오랜만에 상경하신다는 소식입니다.,"문형: [[~由(よし)]]
뜻: ~라고 함 / ~라고 하는 소식
메모: 전해 들은 내용을 전달할 때. 격식 있는 [[문어체]].
원본파일: N1-2-문형-03.csv
문형카드순번: 4",아니오,来月は久しぶりのご上京の[[由]],다음 달 오랜만에 상경하신다는 [[소식입니다]].
子供が自殺するに至って,아이가 자살하기에 이르러서,"문형: [[~に至って]]
뜻: ~에 이르러 / ~하게 되자
메모: 극단적인 사태가 되어서야 비로소. 「に至る」 계열.
원본파일: N1-2-문형-03.csv
문형카드순번: 5",아니오,子供が自殺する[[に至って]],아이가 자살하기에 [[이르러서]]
健康であればこそできる,건강하기 때문에야말로 할 수 있다.,"문형: [[~ばこそ]]
뜻: ~이기 때문에
메모: 바로 그 이유 때문임을 강조하는 긍정적 원인. 「からこそ」의 [[문어체]].
원본파일: N1-2-문형-03.csv
문형카드순번: 6",아니오,健康であれ[[ばこそ]]できる,건강하기 [[때문에야말로]] 할 수 있다.
彼をおいてだれもいない,그를 빼고는 아무도 없다.,"문형: [[~をおいて~ない]]
뜻: ~가 아니면, ~말고
메모: 뒤의 부정 「ない」까지 함께 외워야 “~가 아니면” 의미가 됨.
원본파일: N1-2-문형-03.csv
문형카드순번: 7",아니오,彼[[をおいて]]だれも[[いない]],그를 [[빼고는]] [[아무도 없다]].
私が住む町に至っては,내가 사는 마을에 이르러서는,"문형: [[~に至っては]]
뜻: ~에 이르러서는 / ~만 해도
메모: 여럿 중 극단적인 예를 들어 강조. 「に至る」 계열.
원본파일: N1-2-문형-03.csv
문형카드순번: 8",아니오,私が住む町[[に至っては]],내가 사는 마을에 [[이르러서는]]
死ねばそれまでだ,죽으면 그것으로 끝이다.,"문형: [[~ばそれまでだ]]
뜻: ~하면 끝이다
메모: 그렇게 되면 더 이상 어쩔 도리가 없음.
원본파일: N1-2-문형-03.csv
문형카드순번: 9",아니오,死ね[[ばそれまでだ]],죽으면 그것으로 [[끝이다]].
今回の取引を限りに,이번 거래를 끝으로,"문형: [[~を限りに]]
뜻: ~을 끝으로
메모: 그 시점을 마지막으로 어떤 일을 그만둠.
원본파일: N1-2-문형-03.csv
문형카드순번: 10",아니오,今回の取引[[を限りに]],이번 거래를 [[끝으로]]
